시간 38258 : 작업 : 735 종료(도착시간 : 10722, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 27536, 최종우선순위 : 8)
시간 38288 : 작업 : 404 종료(도착시간 : 10422, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 27866, 최종우선순위 : 8)
시간 38378 : 작업 : 547 종료(도착시간 : 10861, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 27517, 최종우선순위 : 8)
시간 38918 : 작업 : 994 종료(도착시간 : 12294, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 26624, 최종우선순위 : 8)
시간 39358 : 작업 : 145 종료(도착시간 : 14270, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 25088, 최종우선순위 : 8)
시간 39378 : 작업 : 313 종료(도착시간 : 13971, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 25407, 최종우선순위 : 8)
시간 39668 : 작업 : 401 종료(도착시간 : 15589, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 24079, 최종우선순위 : 8)
시간 39678 : 작업 : 740 종료(도착시간 : 15568, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 24110, 최종우선순위 : 8)
시간 39728 : 작업 : 317 종료(도착시간 : 16085, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 23643, 최종우선순위 : 8)
시간 39738 : 작업 : 324 종료(도착시간 : 15790, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 23948, 최종우선순위 : 8)
시간 39958 : 작업 : 341 종료(도착시간 : 17124, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 22834, 최종우선순위 : 8)
시간 40068 : 작업 : 629 종료(도착시간 : 17650, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 22418, 최종우선순위 : 8)
시간 40338 : 작업 : 246 종료(도착시간 : 17864, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 22474, 최종우선순위 : 8)
시간 40428 : 작업 : 221 종료(도착시간 : 18651, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 21777, 최종우선순위 : 8)
시간 40448 : 작업 : 79 종료(도착시간 : 18538, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 21910, 최종우선순위 : 8)
시간 40508 : 작업 : 775 종료(도착시간 : 18630, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 21878, 최종우선순위 : 8)
시간 40608 : 작업 : 751 종료(도착시간 : 19149, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 21459, 최종우선순위 : 8)
시간 40658 : 작업 : 181 종료(도착시간 : 19405, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 21253, 최종우선순위 : 8)
시간 40708 : 작업 : 1 종료(도착시간 : 19169, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 21539, 최종우선순위 : 8)
시간 40748 : 작업 : 177 종료(도착시간 : 19357, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 21391, 최종우선순위 : 8)
시간 41118 : 작업 : 603 종료(도착시간 : 20968, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 20150, 최종우선순위 : 8)
시간 41278 : 작업 : 421 종료(도착시간 : 21787, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 19491, 최종우선순위 : 8)
시간 41298 : 작업 : 305 종료(도착시간 : 21945, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 19353, 최종우선순위 : 8)
시간 41348 : 작업 : 36 종료(도착시간 : 22386, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 18962, 최종우선순위 : 8)
시간 41458 : 작업 : 141 종료(도착시간 : 22725, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 18733, 최종우선순위 : 8)
시간 41788 : 작업 : 837 종료(도착시간 : 24277, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 17511, 최종우선순위 : 8)
시간 41818 : 작업 : 318 종료(도착시간 : 24774, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 17044, 최종우선순위 : 8)
시간 42118 : 작업 : 123 종료(도착시간 : 26154, 실행시간 : 40, 실행횟수 : 4, 지연시간 : 15964, 최종우선순위 : 8)
시간 42448 : 작업 : 55 종료(도착시간 : 27595, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 14853, 최종우선순위 : 8)
시간 42488 : 작업 : 116 종료(도착시간 : 27756, 실행시간 : 50, 실행횟수 : 5, 지연시간 : 14732, 최종우선순위 : 8)
시간 42568 : 작업 : 229 종료(도착시간 : 27813, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 14755, 최종우선순위 : 8)
시간 42658 : 작업 : 810 종료(도착시간 : 28211, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 14447, 최종우선순위 : 8)
시간 42848 : 작업 : 316 종료(도착시간 : 29288, 실행시간 : 60, 실행횟수 : 6, 지연시간 : 13560, 최종우선순위 : 8)
시간 43258 : 작업 : 865 종료(도착시간 : 31426, 실행시간 : 70, 실행횟수 : 7, 지연시간 : 11832, 최종우선순위 : 8)
시간 43278 : 작업 : 669 종료(도착시간 : 31339, 실행시간 : 80, 실행횟수 : 8, 지연시간 : 11939, 최종우선순위 : 8)
